Swimming ID,Athlete First Name,Athlete Middle Name,Athlete Last Name,Athlete Gender,Athlete date of birth,Team name,Pref name
051006FLOXWILS,Floyd,,Wilson,M,5/10/2006,Red,Floyd
122109EDWXDEAN,Edward,,Dean,M,12/21/2009,Green,Edward
051307ZACXHILL,Zachary,,Hill,M,5/13/2007,Blue,Zachary
122412RICXSING,Ricky,,Singleton,M,12/24/2012,Red,Ricky
051706ELMXSALA,Elmer,,Salazar,M,5/17/2006,Green,Elmer
111810HARXBALL,Harry,,Ball,M,11/18/2010,Blue,Harry
071208FREXHOWA,Fred,,Howard,M,7/12/2008,Red,Fred
080809CARXHOLM,Carlton,,Holmes,M,8/8/2009,Green,Carlton
052207ALVXPEAR,Alvin,,Pearson,M,5/22/2007,Blue,Alvin
110607FELXTRAN,Felipe,,Tran,M,11/6/2007,Red,Felipe
010812KATXSCHM,Kathy,,Schmidt,F,1/8/2012,Green,Kathy
081409CHRXTAYL,Christine,,Taylor,F,8/14/2009,Blue,Christine
052711TRAXWASH,Tracey,,Washington,F,5/27/2011,Red,Tracey
042906BREXHERR,Brenda,,Herrera,F,4/29/2006,Green,Brenda
030212FAYXBUCH,Faye,,Buchanan,F,3/2/2012,Blue,Faye
010509TAMXTURN,Tamara,,Turner,F,1/5/2009,Red,Tamara
071212KERXLEWI,Kerry,,Lewis,F,7/12/2012,Green,Kerry
031205HARXWILL,Harriet,,Williams,F,3/12/2005,Blue,Harriet
061406SILXBARB,Silvia,,Barber,F,6/14/2006,Red,Silvia
110106ROBXWATE,Robin,,Waters,F,11/1/2006,Green,Robin
080310LESXINGR,Leslie,,Ingram,F,8/3/2010,Blue,Leslie
021403FREXALVA,Freda,,Alvarez,F,2/14/2003,Red,Freda
032603ANNXBOWM,Anna,,Bowman,F,3/26/2003,Green,Anna
082605PHYXFLOY,Phyllis,,Floyd,F,8/26/2005,Blue,Phyllis
010403WANXWEAV,Wanda,,Weaver,F,1/4/2003,Red,Wanda
110103BOBXWHIT,Bobbie,,White,F,11/1/2003,Green,Bobbie
062911LYDXZIMM,Lydia,,Zimmerman,F,6/29/2011,Blue,Lydia
122704MYRXQUIN,Myra,,Quinn,F,12/27/2004,Red,Myra
020912NAOXTHOR,Naomi,,Thornton,F,2/9/2012,Green,Naomi
032208JOYXWHEE,Joyce,,Wheeler,F,3/22/2008,Blue,Joyce
041409MYRXDAVI,Myrtle,,Davis,F,4/14/2009,Red,Myrtle
031712ELOXWAGN,Eloise,,Wagner,F,3/17/2012,Green,Eloise
072910STAXHARR,Stacy,,Harrington,F,7/29/2010,Blue,Stacy
102808JANXHANS,Jane,,Hansen,F,10/28/2008,Red,Jane
092907KELXWALT,Kelly,,Walters,F,9/29/2007,Green,Kelly
020903JAIXROBE,Jaime,,Roberson,F,2/9/2003,Blue,Jaime
082804RACXCAIN,Rachel,,Cain,F,8/28/2004,Red,Rachel
090512SHEXHUBB,Sherri,,Hubbard,F,9/5/2012,Green,Sherri
062412LORXCLAY,Lorena,,Clayton,F,6/24/2012,Blue,Lorena
041510VICXWILK,Vickie,,Wilkins,F,4/15/2010,Red,Vickie
102610YVEXCLAR,Yvette,,Clarke,F,10/26/2010,Green,Yvette
112011EDIXHAMP,Edith,,Hampton,F,11/20/2011,Blue,Edith
010805JENXGREE,Jenna,,Greer,F,1/8/2005,Red,Jenna
063010CHAXWADE,Charlotte,,Wade,F,6/30/2010,Green,Charlotte
112608CYNXCOLE,Cynthia,,Cole,F,11/26/2008,Blue,Cynthia
042007ERIXCROS,Erika,,Cross,F,4/20/2007,Red,Erika
082312EDNXLARS,Edna,,Larson,F,8/23/2012,Green,Edna
102003LORXBROW,Lorraine,,Brown,F,10/20/2003,Blue,Lorraine
011512MELXDRAK,Melissa,,Drake,F,1/15/2012,Red,Melissa
090309MATXDOYL,Mattie,,Doyle,F,9/3/2009,Green,Mattie
021106DARXANDE,Darlene,,Anderson,F,2/11/2006,Blue,Darlene
030506VIOXHERN,Violet,,Hernandez,F,3/5/2006,Red,Violet
120210KARXSANT,Kari,,Santiago,F,12/2/2010,Green,Kari
041904JOAXTODD,Joanne,,Todd,F,4/19/2004,Blue,Joanne
072811BESXDELG,Bessie,,Delgado,F,7/28/2011,Red,Bessie
021704MARXBRYA,Maria,,Bryan,F,2/17/2004,Green,Maria
050608MELXFORD,Melinda,,Ford,F,5/6/2008,Blue,Melinda
102709NORXBRAD,Nora,,Brady,F,10/27/2009,Red,Nora
033104NADXHOWA,Nadine,,Howard,F,3/31/2004,Green,Nadine
092704AMEXNORM,Amelia,,Norman,F,9/27/2004,Blue,Amelia
100807ALYXSANT,Alyssa,,Santos,F,10/8/2007,Red,Alyssa
011709LYNXWASH,Lynda,,Washington,F,1/17/2009,Green,Lynda
030709ESSXPADI,Essie,,Padilla,F,3/7/2009,Blue,Essie
102606BEAXTHOR,Beatrice,,Thornton,F,10/26/2006,Red,Beatrice
050508SUZXMCDA,Suzanne,,Mcdaniel,F,5/5/2008,Green,Suzanne
011510LENXMORR,Lena,,Morrison,F,1/15/2010,Blue,Lena
032906LOLXINGR,Lola,,Ingram,F,3/29/2006,Red,Lola
060809KRIXSANC,Kristen,,Sanchez,F,6/8/2009,Green,Kristen
093007PATXPATT,Patti,,Patterson,F,9/30/2007,Blue,Patti
062308SONXPARK,Sonya,,Parks,F,6/23/2008,Red,Sonya
092304BETXCONN,Beth,,Conner,F,9/23/2004,Green,Beth
122811TIFXLOGA,Tiffany,,Logan,F,12/28/2011,Blue,Tiffany
022303ALIXMILL,Alicia,,Miller,F,2/23/2003,Red,Alicia
030608LANXVASQ,Lana,,Vasquez,F,3/6/2008,Green,Lana
091605LILXHOGA,Lila,,Hogan,F,9/16/2005,Blue,Lila
020306CHEXMURR,Cheryl,,Murray,F,2/3/2006,Red,Cheryl
040510MOLXPATT,Molly,,Patton,F,4/5/2010,Green,Molly
051705DORXCOX,Dora,,Cox,F,5/17/2005,Blue,Dora
092608SONXPENA,Sonja,,Pena,F,9/26/2008,Red,Sonja
033103KRIXESTR,Kristina,,Estrada,F,3/31/2003,Green,Kristina
012010INEXSHER,Inez,,Sherman,F,1/20/2010,Blue,Inez
071903EDNXPERE,Edna,,Perez,F,7/19/2003,Red,Edna
032603LATXKELL,Latoya,,Keller,F,3/26/2003,Green,Latoya
102303MILXPETE,Mildred,,Peterson,F,10/23/2003,Blue,Mildred
121712ADRXSTRI,Adrienne,,Strickland,F,12/17/2012,Red,Adrienne
010310KELXTRAN,Kellie,,Tran,F,1/3/2010,Green,Kellie
101203DARXBROW,Darla,,Brown,F,10/12/2003,Blue,Darla
040912ELVXBISH,Elvira,,Bishop,F,4/9/2012,Red,Elvira
081910DORXLOWE,Doreen,,Lowe,F,8/19/2010,Green,Doreen
060212ERMXCARP,Erma,,Carpenter,F,6/2/2012,Blue,Erma
121112SOPXHENR,Sophia,,Henry,F,12/11/2012,Red,Sophia
111510ALBXWELC,Alberta,,Welch,F,11/15/2010,Green,Alberta
022206SILXHARV,Silvia,,Harvey,F,2/22/2006,Blue,Silvia
040603LORXSING,Lorene,,Singleton,F,4/6/2003,Red,Lorene
102304BECXCLAY,Becky,,Clayton,F,10/23/2004,Green,Becky
102308LINXSANT,Lindsey,,Santiago,F,10/23/2008,Blue,Lindsey
071904CARXBELL,Carrie,,Bell,F,7/19/2004,Red,Carrie
122512SARXSUTT,Sara,,Sutton,F,12/25/2012,Green,Sara
052307CASXRUSS,Casey,,Russell,F,5/23/2007,Blue,Casey
112506KRYXCRAI,Krystal,,Craig,F,11/25/2006,Red,Krystal
120506SUSXFORD,Susan,,Ford,F,12/5/2006,Green,Susan
120707RENXCOLE,Renee,,Coleman,F,12/7/2007,Blue,Renee
031912NORXPERR,Norma,,Perry,F,3/19/2012,Red,Norma
051008JASXMILL,Jasmine,,Mills,F,5/10/2008,Green,Jasmine
112012PATXCARR,Patricia,,Carroll,F,11/20/2012,Blue,Patricia
090507LAVXHARD,Laverne,,Hardy,F,9/5/2007,Red,Laverne
022205JOSXHARR,Josephine,,Harrison,F,2/22/2005,Green,Josephine
091404AGNXVAUG,Agnes,,Vaughn,F,9/14/2004,Blue,Agnes
040908LUCXFRAN,Lucia,,Francis,F,4/9/2008,Red,Lucia
022507HEAXRUIZ,Heather,,Ruiz,F,2/25/2007,Green,Heather
